run_id,timestamp,step,metric_key,metric_value,config_json
demo_sft_run_20250629_055754,2025-06-29T10:57:54.544645+00:00,-1,run_init,"{""model_name"": ""HuggingFaceTB/SmolLM2-135M-Instruct"", ""learning_rate"": 0.0002, ""batch_size"": 4, ""max_steps"": 50, ""warmup_steps"": 50, ""save_steps"": 100, ""lora_r"": 16, ""lora_alpha"": 32, ""lora_dropout"": 0.1, ""output_dir"": ""sft_output""}","{""git_sha"": ""36a34607e807eb808fb1238ea6affe24e14bd2ab"", ""pip_freeze"": ""absl-py==2.3.0\naccelerate==1.7.0\naiohappyeyeballs==2.6.1\naiohttp==3.12.9\naiosignal==1.3.2\nalembic==1.16.2\naltair==5.5.0\nannotated-types==0.7.0\nanyio==4.9.0\nappnope==0.1.4\nargon2-cffi==25.1.0\nargon2-cffi-bindings==21.2.0\narrow==1.3.0\nasn1crypto==1.5.1\nasttokens==3.0.0\nasync-lru==2.0.5\nattrs==25.3.0\nbabel==2.17.0\nbcrypt==4.3.0\nbeautifulsoup4==4.13.4\nbitsandbytes==0.42.0\nbleach==6.2.0\nblinker==1.9.0\nboto3==1.38.32\nbotocore==1.38.32\ncachetools==5.5.2\ncertifi==2025.4.26\ncffi==1.17.1\ncharset-normalizer==3.4.2\nclick==8.2.1\ncloudpickle==3.0.0\ncomm==0.2.2\ncontourpy==1.3.2\ncryptography==45.0.3\ncycler==0.12.1\ndatasets==3.6.0\ndebugpy==1.8.14\ndecorator==5.2.1\ndefusedxml==0.7.1\ndill==0.3.8\ndiskcache==5.6.3\nentrypoints==0.4\nexecuting==2.2.0\nFaker==37.3.0\nfastjsonschema==2.21.1\nfavicon==0.7.0\nfilelock==3.18.0\nfonttools==4.58.2\nfqdn==1.5.1\nfrozenlist==1.6.2\nfsspec==2025.3.0\ngitdb==4.0.12\nGitPython==3.1.44\ngrpcio==1.73.0\nh11==0.16.0\nhf-xet==1.1.3\nhtbuilder==0.9.0\nhttpcore==1.0.9\nhttpx==0.28.1\nhttpx-ws==0.7.2\nhuggingface-hub==0.33.0\nidna==3.10\niniconfig==2.1.0\nipykernel==6.29.5\nipython==9.3.0\nipython_pygments_lexers==1.1.1\nipywidgets==8.1.7\nisoduration==20.11.0\njedi==0.19.2\nJinja2==3.1.6\njmespath==1.0.1\njoblib==1.5.1\njson5==0.12.0\njsonpointer==3.0.0\njsonschema==4.24.0\njsonschema-specifications==2025.4.1\njupyter==1.1.1\njupyter-console==6.6.3\njupyter-events==0.12.0\njupyter-lsp==2.2.5\njupyter_client==8.6.3\njupyter_core==5.8.1\njupyter_server==2.16.0\njupyter_server_terminals==0.5.3\njupyterlab==4.4.3\njupyterlab_pygments==0.3.0\njupyterlab_server==2.27.3\njupyterlab_widgets==3.0.15\nkiwisolver==1.4.8\nllama_cpp_python==0.3.9\nlmstudio==1.3.1\nlxml==5.4.0\nMako==1.3.10\nMarkdown==3.8\nmarkdownlit==0.0.7\nMarkupSafe==3.0.2\nmatplotlib==3.10.3\nmatplotlib-inline==0.1.7\nmistune==3.1.3\nmpmath==1.3.0\nmsgspec==0.19.0\nmultidict==6.4.4\nmultiprocess==0.70.16\nnarwhals==1.41.1\nnbclient==0.10.2\nnbconvert==7.16.6\nnbformat==5.10.4\nnest-asyncio==1.6.0\nnetworkx==3.5\nnltk==3.9.1\nnotebook==7.4.3\nnotebook_shim==0.2.4\nnumpy==2.3.0\norjson==3.10.18\noverrides==7.7.0\npackaging==24.2\npandas==2.3.0\npandocfilters==1.5.1\nparso==0.8.4\npeft @ git+https://github.com/huggingface/peft.git@759bb70acea8486b3a493792a5b6ba80b5217fb4\npexpect==4.9.0\npillow==11.2.1\nplatformdirs==4.3.8\nplotly==6.1.2\npluggy==1.6.0\nprometheus_client==0.22.1\nprompt_toolkit==3.0.51\npropcache==0.3.1\nprotobuf==5.29.5\npsutil==7.0.0\nptyprocess==0.7.0\npure_eval==0.2.3\npyarrow==18.1.0\npycparser==2.22\npydantic==2.11.7\npydantic_core==2.33.2\npydeck==0.9.1\nPygments==2.19.1\nPyJWT==2.10.1\npymdown-extensions==10.15\npyOpenSSL==25.1.0\npyparsing==3.2.3\npytest==8.4.1\npytest-asyncio==1.0.0\npython-dateutil==2.9.0.post0\npython-dotenv==1.1.0\npython-json-logger==3.3.0\npytz==2025.2\nPyYAML==6.0.2\npyzmq==26.4.0\nreferencing==0.36.2\nregex==2024.11.6\nrequests==2.32.4\nrfc3339-validator==0.1.4\nrfc3986-validator==0.1.1\nrpds-py==0.25.1\nruff==0.12.0\ns3transfer==0.13.0\nsafetensors==0.5.3\nscikit-learn==1.7.0\nscipy==1.15.3\nseaborn==0.13.2\nSend2Trash==1.8.3\nsentence-transformers==4.1.0\nsentencepiece==0.2.0\nsentry-sdk==2.30.0\nsetproctitle==1.3.6\nsetuptools==80.9.0\nsix==1.17.0\nsmmap==5.0.2\nsniffio==1.3.1\nsnowflake-connector-python==3.15.0\nsnowflake-snowpark-python==1.32.0\nsortedcontainers==2.4.0\nsoupsieve==2.7\nSQLAlchemy==2.0.41\nst-annotated-text==4.0.2\nst-theme==1.2.3\nstack-data==0.6.3\nstreamlit==1.45.1\nstreamlit-avatar==0.1.3\nstreamlit-camera-input-live==0.2.0\nstreamlit-card==1.0.2\nstreamlit-embedcode==0.1.2\nstreamlit-extras==0.7.1\nstreamlit-faker==0.0.3\nstreamlit-image-coordinates==0.2.2\nstreamlit-keyup==0.3.0\nstreamlit-option-menu==0.4.0\nstreamlit-toggle-switch==1.0.2\nstreamlit-vertical-slider==2.5.5\nsympy==1.14.0\ntenacity==9.1.2\ntensorboard==2.19.0\ntensorboard-data-server==0.7.2\nterminado==0.18.1\nthreadpoolctl==3.6.0\ntinycss2==1.4.0\ntokenizers==0.21.1\ntoml==0.10.2\ntomlkit==0.13.3\ntorch==2.7.1\ntornado==6.5.1\ntqdm==4.67.1\ntraitlets==5.14.3\ntransformers==4.52.4\ntrl==0.19.0\ntypes-python-dateutil==2.9.0.20250516\ntyping-inspection==0.4.1\ntyping_extensions==4.14.0\ntzdata==2025.2\ntzlocal==5.3.1\nuri-template==1.3.0\nurllib3==2.4.0\nuv==0.7.11\nvalidators==0.35.0\nwandb==0.20.1\nwatchdog==6.0.0\nwcwidth==0.2.13\nwebcolors==24.11.1\nwebencodings==0.5.1\nwebsocket-client==1.8.0\nWerkzeug==3.1.3\nwheel==0.45.1\nwidgetsnbextension==4.0.14\nwsproto==1.2.0\nxxhash==3.5.0\nyarl==1.20.0\n"", ""run_env_vars"": {}}"
demo_sft_run_20250629_055754,2025-06-29T10:57:54.545340+00:00,0,config_captured,"{'model_name': 'HuggingFaceTB/SmolLM2-135M-Instruct', 'learning_rate': 0.0002, 'batch_size': 4, 'max_steps': 50, 'warmup_steps': 50, 'save_steps': 100, 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.1, 'output_dir': 'sft_output'}",
demo_sft_run_20250629_055754,2025-06-29T10:57:54.545934+00:00,1,dataset_size,3,
demo_sft_run_20250629_055754,2025-06-29T10:57:54.550387+00:00,2,train_loss,3.0,
demo_sft_run_20250629_055754,2025-06-29T10:57:54.550387+00:00,2,learning_rate,0.0002,
demo_sft_run_20250629_055754,2025-06-29T10:57:54.550387+00:00,2,step,0,
demo_sft_run_20250629_055754,2025-06-29T10:57:54.550387+00:00,2,gpu_memory_mb,2048,
demo_sft_run_20250629_055754,2025-06-29T10:57:54.552041+00:00,3,train_loss,2.714512348175049,
demo_sft_run_20250629_055754,2025-06-29T10:57:54.552041+00:00,3,learning_rate,0.00016,
demo_sft_run_20250629_055754,2025-06-29T10:57:54.552041+00:00,3,step,10,
